,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
fpfvy,36.01127058201982,113.56999999999978,75.27799999999992,66.2833494760941,2.605999999999968,2.2946200581139147,7.627999999999924,6.716562472483876,30.663999999999938,27.00008805142203
fqrnu,26.824686414227582,169.80999999999975,127.07599999999985,74.83422648842827,2.816999999999883,1.658912902655843,14.027999999999896,8.260997585536726,28.70600000000001,16.90477592603501
fuzfh,30.790734824281145,25.039999999999996,18.339999999999996,73.24281150159744,1.009999999999999,4.03354632587859,3.477000000000002,13.885782747603844,3.222999999999997,12.871405750798713
fvhrk,5.802558338685594,1121.0400000000002,1075.184,95.90951259544707,19.193000000000634,1.7120709341326474,36.8450000000003,3.2866802255049143,9.011000000000053,0.8038071790480313
fxnwf,33.28416671766977,326.7800000000021,238.1490000000008,72.87747108146132,20.13500000000073,6.161637799131098,42.00600000000069,12.854519860456705,46.625000000000554,14.268009058081969
fyqoe,35.61700262927275,342.30000000000103,227.72200000000032,66.52702307917022,7.33900000000029,2.1440257084429644,61.24300000000046,17.89161554192237,53.335000000000235,15.581361378907413
fzwtp,41.445748640137396,209.57999999999964,135.98899999999975,64.88643954575817,13.270999999999939,6.332188185895582,30.234999999999914,14.426471991602236,43.35599999999995,20.687088462639576
gcfwp,34.73817634476759,252.46000000000052,198.08800000000056,78.46312287094992,33.32800000000046,13.201299215717494,8.545999999999928,3.385090707438767,45.82600000000004,18.151786421611323
gcvrb,12.040671359749366,1098.0700000000004,1022.3820000000007,93.10717895944705,56.527000000000236,5.1478503191964275,51.127999999999105,4.656169460963243,24.560000000000592,2.236651579589697
gfneh,23.49598674990437,156.9799999999999,122.95999999999997,78.32844948401073,2.8639999999999155,1.824436233915096,10.663999999999985,6.793222066505282,23.355999999999955,14.87832844948399
gkiki,16.16972265732971,108.52999999999992,91.36699999999998,84.18593937160236,0.38599999999998125,0.3556620289320755,5.450999999999963,5.022574403390737,11.711999999999975,10.791486225006896
gmmwm,7.913173434424536,274.3400000000001,267.09799999999996,97.36020995844568,14.467000000000112,5.2733833928702,5.1090000000000035,1.8622876722315382,2.1330000000001643,0.7775023693227979
gtjow,8.23142957252984,1141.5999999999995,1057.1459999999988,92.60213735108614,9.515999999999948,0.8335669236159735,49.084000000000884,4.29957953749132,35.36999999999978,3.0982831114225466
